Kernel,Length Scale,Alpha,Noise Level,Bounds,Kernel Parameters,LML
RationalQuadratic,4e-05,0.008377,0.01,"(0.00021544346900318823, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.77466332231558
RationalQuadratic,4e-05,0.008377,0.01,"(0.021544346900318822, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
RationalQuadratic,4e-05,0.008377,0.01,"(1e-07, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
RationalQuadratic,4e-05,0.008377,0.01,"(1e-05, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
RationalQuadratic,4e-05,0.008377,0.01,"(2.1544346900318822e-06, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
RationalQuadratic,4e-05,0.008377,0.01,"(4.641588833612782e-07, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
RationalQuadratic,4e-05,0.008377,0.01,"(0.004641588833612773, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.77466332231557
RationalQuadratic,4e-05,0.008377,0.01,"(4.641588833612772e-05, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.77466332231557
RationalQuadratic,4e-05,0.008377,0.01,"(0.1, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.77466332231557
RationalQuadratic,4e-05,0.008377,0.01,"(0.001, 1000.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",53.77466332231556
RationalQuadratic,4e-05,0.008377,0.01,"(4.641588833612772e-05, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.95942532090241
RationalQuadratic,4e-05,0.008377,0.01,"(0.001, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.95942532090241
RationalQuadratic,4e-05,0.008377,0.01,"(0.021544346900318822, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.959425320902405
RationalQuadratic,4e-05,0.008377,0.01,"(4.641588833612782e-07, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.959425320902405
RationalQuadratic,4e-05,0.008377,0.01,"(1e-05, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.9594253209024
RationalQuadratic,4e-05,0.008377,0.01,"(0.1, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.95942532090238
RationalQuadratic,4e-05,0.008377,0.01,"(0.00021544346900318823, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.959425320902305
RationalQuadratic,4e-05,0.008377,0.01,"(1e-07, 599.4842503189409)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",52.959425320897275
