Iteration,Kernel,Parameters,MSE,R^2,Cumulative Regret,LML
1,RBF,{'length_scale': 0.001},8032.445867894409,-0.3654376176724656,6057.6602978203055,-2614017.1505716597
1,RBF,{'length_scale': 0.01},8032.445762118819,-0.36543760197125424,6057.660257609176,-2614017.1505716546
1,RBF,{'length_scale': 0.1},8032.445867894409,-0.3654376176724656,6057.6602978203055,-2614017.1505716597
1,RBF,{'length_scale': 1.0},8032.445867894409,-0.3654376176724656,6057.6602978203055,-2614017.1505716597
1,RBF,{'length_scale': 10.0},8032.445867894409,-0.3654376176724656,6057.6602978203055,-2614017.1505716597
1,Matern,"{'length_scale': 0.001, 'nu': 0.5}",3579.702499792329,0.3923866566014385,4087.8089130887333,-1163315.45457695
1,Matern,"{'length_scale': 0.001, 'nu': 1.5}",4540.210385377478,0.23114275584153635,4558.478108096652,-1567414.727672974
1,Matern,"{'length_scale': 0.001, 'nu': 2.5}",5194.049690440357,0.12017430503599232,4867.723889252918,-1797865.9467319984
1,Matern,"{'length_scale': 0.01, 'nu': 0.5}",3579.7025625184165,0.39238664654579464,4087.808948337749,-1163315.4545769475
1,Matern,"{'length_scale': 0.01, 'nu': 1.5}",4540.2103842515735,0.23114275604026516,4558.478107373146,-1567414.7276729732
1,Matern,"{'length_scale': 0.01, 'nu': 2.5}",5194.049690472797,0.12017430502992257,4867.723889264787,-1797865.9467319984
1,Matern,"{'length_scale': 0.1, 'nu': 0.5}",3579.702510033938,0.3923866546829723,4087.808920998631,-1163315.4545769494
1,Matern,"{'length_scale': 0.1, 'nu': 1.5}",4540.210385383236,0.23114275584061347,4558.478108099827,-1567414.7276729736
1,Matern,"{'length_scale': 0.1, 'nu': 2.5}",5194.049692555336,0.12017430469653703,4867.723890243382,-1797865.9467319977
1,Matern,"{'length_scale': 1.0, 'nu': 0.5}",3579.702499792329,0.3923866566014385,4087.8089130887333,-1163315.45457695
1,Matern,"{'length_scale': 1.0, 'nu': 1.5}",4540.210385377478,0.23114275584153635,4558.478108096652,-1567414.727672974
1,Matern,"{'length_scale': 1.0, 'nu': 2.5}",5194.049690440357,0.12017430503599232,4867.723889252918,-1797865.9467319984
1,Matern,"{'length_scale': 10.0, 'nu': 0.5}",3579.702499792329,0.3923866566014385,4087.8089130887333,-1163315.45457695
1,Matern,"{'length_scale': 10.0, 'nu': 1.5}",4540.210385377478,0.23114275584153635,4558.478108096652,-1567414.727672974
1,Matern,"{'length_scale': 10.0, 'nu': 2.5}",5194.049690440357,0.12017430503599232,4867.723889252918,-1797865.9467319984
1,RationalQuadratic,"{'length_scale': 0.001, 'alpha': 0.01}",3178.30661502361,0.456742141392149,4068.8286415141765,-886599.7946214142
1,RationalQuadratic,"{'length_scale': 0.001, 'alpha': 0.05623413251903491}",3178.3066196740297,0.4567421405377525,4068.828647738552,-886599.7946214136
1,RationalQuadratic,"{'length_scale': 0.001, 'alpha': 0.31622776601683794}",3178.3066148426506,0.4567421414255589,4068.828641591504,-886599.7946214133
1,RationalQuadratic,"{'length_scale': 0.001, 'alpha': 1.7782794100389228}",3178.3066155483357,0.45674214130982255,4068.8286418443,-886599.7946214132
1,RationalQuadratic,"{'length_scale': 0.001, 'alpha': 10.0}",3178.306622120207,0.4567421400883294,4068.8286471247848,-886599.7946214222
1,RationalQuadratic,"{'length_scale': 0.01, 'alpha': 0.01}",3178.306622120207,0.4567421400883294,4068.8286471247848,-886599.7946214222
