,Kernel,Length Scale,Alpha,Noise Level,Bounds,Kernel Parameters,LML
2029,RationalQuadratic,3.9810717055349695e-05,0.008376776400682925,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=0.00838, length_scale=3.98e-05) + WhiteKernel(noise_level=0.01)",53.77466332231559
7006,RationalQuadratic,100.0,1e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=1e-06, length_scale=100) + WhiteKernel(noise_level=1e-09)",53.77466332231559
1581,RationalQuadratic,3.9810717055349695e-05,1.4251026703029993e-05,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=1.43e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=1e-09)",53.77466332231558
1560,RationalQuadratic,3.9810717055349695e-05,8.376776400682924e-06,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=8.38e-06, length_scale=3.98e-05) + WhiteKernel(noise_level=3.16e-06)",53.77466332231558
384,RationalQuadratic,1e-06,0.00020309176209047368,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=0.000203, length_scale=1e-06) + WhiteKernel(noise_level=0.01)",53.77466332231558
181,RationalQuadratic,1e-06,1.4251026703029993e-05,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=1.43e-05, length_scale=1e-06) + WhiteKernel(noise_level=1e-09)",53.77466332231558
5648,RationalQuadratic,2.5118864315095824,1.7012542798525892e-06,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=1.7e-06, length_scale=2.51) + WhiteKernel(noise_level=5.62e-08)",53.77466332231558
146,RationalQuadratic,1e-06,8.376776400682924e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=8.38e-06, length_scale=1e-06) + WhiteKernel(noise_level=1e-09)",53.77466332231558
3254,RationalQuadratic,0.001584893192461114,0.0005878016072274912,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=0.000588, length_scale=0.00158) + WhiteKernel(noise_level=0.01)",53.77466332231558
111,RationalQuadratic,1e-06,4.923882631706742e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=4.92e-06, length_scale=1e-06) + WhiteKernel(noise_level=1e-09)",53.77466332231558
1630,RationalQuadratic,3.9810717055349695e-05,2.424462017082331e-05,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=2.42e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=3.16e-06)",53.77466332231558
7741,RationalQuadratic,100.0,0.07017038286703836,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.0702, length_scale=100) + WhiteKernel(noise_level=1e-09)",53.77466332231558
734,RationalQuadratic,1e-06,0.041246263829013564,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=0.0412, length_scale=1e-06) + WhiteKernel(noise_level=0.01)",53.77466332231558
3611,RationalQuadratic,0.001584893192461114,0.2030917620904739,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=0.203, length_scale=0.00158) + WhiteKernel(noise_level=1e-09)",53.77466332231558
7104,RationalQuadratic,100.0,2.894266124716752e-06,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=2.89e-06, length_scale=100) + WhiteKernel(noise_level=0.01)",53.77466332231558
4297,RationalQuadratic,0.06309573444801943,2.894266124716752e-06,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=2.89e-06, length_scale=0.0631) + WhiteKernel(noise_level=0.000178)",53.77466332231558
7076,RationalQuadratic,100.0,2.894266124716752e-06,1e-09,"(1e-06, 1000)","RationalQuadratic(alpha=2.89e-06, length_scale=100) + WhiteKernel(noise_level=1e-09)",53.77466332231558
1602,RationalQuadratic,3.9810717055349695e-05,1.4251026703029993e-05,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=1.43e-05, length_scale=3.98e-05) + WhiteKernel(noise_level=0.000178)",53.77466332231558
