,Kernel,Length Scale,Bounds,Kernel Parameters,LML
516,RationalQuadratic,2.06913808111479,"(0.01, 70.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
515,RationalQuadratic,2.06913808111479,"(0.01, 60.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
512,RationalQuadratic,2.06913808111479,"(0.01, 30.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
513,RationalQuadratic,2.06913808111479,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
514,RationalQuadratic,2.06913808111479,"(0.01, 50.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
511,RationalQuadratic,2.06913808111479,"(0.01, 20.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
510,RationalQuadratic,2.06913808111479,"(0.01, 10.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
517,RationalQuadratic,2.06913808111479,"(0.01, 80.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
519,RationalQuadratic,2.06913808111479,"(0.01, 100.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
518,RationalQuadratic,2.06913808111479,"(0.01, 90.0)","RationalQuadratic(alpha=1, length_scale=2.07)",-1.031545367776749
529,RationalQuadratic,3.359818286283781,"(0.01, 100.0)","RationalQuadratic(alpha=1, length_scale=3.36)",-1.0315453677767525
583,RationalQuadratic,61.584821106602604,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=61.6)",-1.0315453677767543
533,RationalQuadratic,5.455594781168514,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=5.46)",-1.0315453677767543
453,RationalQuadratic,0.11288378916846889,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.113)",-1.0315453677767543
463,RationalQuadratic,0.18329807108324356,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.183)",-1.0315453677767543
443,RationalQuadratic,0.06951927961775606,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.0695)",-1.0315453677767543
473,RationalQuadratic,0.29763514416313175,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.298)",-1.0315453677767543
563,RationalQuadratic,23.357214690901213,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=23.4)",-1.0315453677767543
433,RationalQuadratic,0.04281332398719394,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.0428)",-1.0315453677767543
523,RationalQuadratic,3.359818286283781,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=3.36)",-1.0315453677767543
503,RationalQuadratic,1.2742749857031335,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=1.27)",-1.0315453677767543
539,RationalQuadratic,5.455594781168514,"(0.01, 100.0)","RationalQuadratic(alpha=1, length_scale=5.46)",-1.0315453677767543
493,RationalQuadratic,0.7847599703514611,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.785)",-1.0315453677767543
403,RationalQuadratic,0.01,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.01)",-1.0315453677767543
423,RationalQuadratic,0.026366508987303583,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.0264)",-1.0315453677767543
573,RationalQuadratic,37.92690190732246,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=37.9)",-1.0315453677767543
593,RationalQuadratic,100.0,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=100)",-1.0315453677767543
553,RationalQuadratic,14.38449888287663,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=14.4)",-1.0315453677767543
483,RationalQuadratic,0.4832930238571752,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.483)",-1.0315453677767543
413,RationalQuadratic,0.016237767391887217,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=0.0162)",-1.0315453677767543
543,RationalQuadratic,8.858667904100823,"(0.01, 40.0)","RationalQuadratic(alpha=1, length_scale=8.86)",-1.0315453677767543
494,RationalQuadratic,0.7847599703514611,"(0.01, 50.0)","RationalQuadratic(alpha=1, length_scale=0.785)",-1.031545367776756
504,RationalQuadratic,1.2742749857031335,"(0.01, 50.0)","RationalQuadratic(alpha=1, length_scale=1.27)",-1.0315453677767579
